file,this_class,super,bucket
IIIIIIIIiI(127).class,rustme/IIIIIIIIiI,rustme/IliIiIIIiI,misc
IIIIIIIiII(247).class,rustme/IIIIIIIiII,java/lang/Object,misc
IIIIIIIlII(191).class,rustme/IIIIIIIlII,java/lang/Object,misc
IIIIIIIliI(127).class,rustme/IIIIIIIliI,rustme/IIllIiIliI,mod-widget
IIIIIIiIII(279).class,rustme/IIIIIIiIII,java/lang/Object,misc
IIIIIIiIiI(63).class,rustme/IIIIIIiIiI,rustme/IIlliIiIiI,misc
IIIIIIiiII(191).class,rustme/IIIIIIiiII,java/lang/Object,kotlin-lambda-ish
IIIIIIiilI(31).class,rustme/IIIIIIiilI,java/lang/Object,misc
IIIIIIiliI(63).class,rustme/IIIIIIiliI,java/lang/Object,render-gl-wrapper
IIIIIIlIII(191).class,rustme/IIIIIIlIII,java/lang/Object,misc
IIIIIIlIiI(127).class,rustme/IIIIIIlIiI,java/lang/Object,misc
IIIIIIliiI(63).class,rustme/IIIIIIliiI,rustme/lIlliIliiI,network-packet
IIIIIIlliI(63).class,rustme/IIIIIIlliI,java/lang/Object,kotlin-lambda-ish
IIIIIiIIII(295).class,rustme/IIIIIiIIII,java/lang/Object,misc
IIIIIiIIiI(95).class,rustme/IIIIIiIIiI,java/lang/Enum,enum
IIIIIiIiII(223).class,rustme/IIIIIiIiII,java/lang/Object,kotlin-lambda-ish
IIIIIiIilI(47).class,rustme/IIIIIiIilI,java/lang/Object,misc
IIIIIiIliI(95).class,rustme/IIIIIiIliI,rustme/IlilIIIliI,gui-textures
IIIIIiiIiI(31).class,rustme/IIIIIiiIiI,java/lang/Enum,enum
IIIIIiiiII(159).class,rustme/IIIIIiiiII,java/lang/Object,kotlin-lambda-ish
IIIIIiilII(143).class,rustme/IIIIIiilII,java/lang/Object,misc
IIIIIiiliI(31).class,rustme/IIIIIiiliI,java/lang/Object,kotlin-lambda-ish
IIIIIilIiI(95).class,rustme/IIIIIilIiI,java/lang/Enum,enum
IIIIIiliII(143).class,rustme/IIIIIiliII,java/lang/Object,misc
IIIIIiliiI(31).class,rustme/IIIIIiliiI,java/lang/Object,misc
IIIIIillII(79).class,rustme/IIIIIillII,java/lang/Object,misc
IIIIIilliI(31).class,rustme/IIIIIilliI,java/lang/Object,misc
IIIIIlIIII(159).class,rustme/IIIIIlIIII,java/lang/Object,misc
IIIIIlIIiI(79).class,rustme/IIIIIlIIiI,java/lang/Object,misc
IIIIIlIiiI(15).class,rustme/IIIIIlIiiI,rustme/iliIIlIiiI,world-related
IIIIIlIilI(31).class,rustme/IIIIIlIilI,java/lang/Object,misc
IIIIIlIliI(63).class,rustme/IIIIIlIliI,java/lang/Object,misc
IIIIIliIiI(47).class,rustme/IIIIIliIiI,rustme/lIIIIliIiI,block
IIIIIliiII(111).class,rustme/IIIIIliiII,java/lang/Object,kotlin-lambda-ish
IIIIIlilII(79).class,rustme/IIIIIlilII,java/lang/Object,misc
IIIIIliliI(31).class,rustme/IIIIIliliI,rustme/iiIliiIliI,gui-textures
IIIIIllIiI(63).class,rustme/IIIIIllIiI,rustme/llIiIllIiI,misc
IIIIIlliII(79).class,rustme/IIIIIlliII,java/lang/Object,misc
